project_id,name,country,city,latitude,longitude,crops,founded_year,members,hectares,model,focus,varieties_grown,website,notes,source
CGP-001,Allkorn,Sweden,Uppsala,59.86,17.64,wheat;rye;barley;oat;spelt;einkorn;emmer,2004,330,120.0,seed_commons,seed_saving;breeding;heritage_conservation;education,Dala Lantvete;Ölandsvete;Einkorn;Emmer;Kungs-Rye;Oberkulmer Rotkorn,https://www.allkorn.se,Non-profit network founded by Hans Larsson at SLU for participatory plant breeding and heritage grain revival; distributes 10 ears per variety to farmers annually,Allkorn official; Modern Farmer (2013)
CGP-002,Gutekorn,Sweden,Gotland,57.63,18.29,wheat;emmer;einkorn;spelt,2010,6,45.0,co-op,heritage_conservation;grain_growing;marketing,Einkorn;Emmer;Ölandsvete,https://gutekorn.wordpress.com,Six-farm cooperative on Gotland protecting ancient grains from the Ardre treasure cache; operates own gene bank with ~30 varieties,Modern Farmer (2013); Gutekorn official
CGP-003,Brödinstitutet,Sweden,Stockholm,59.33,18.07,wheat;rye;barley;oat,2002,50,0.0,research_network,education;baking;heritage_conservation,,https://www.brodinstitutet.se,Swedish Bread Institute; knowledge hub for bread culture and heritage grains; promotes traditional Nordic bread varieties,Brödinstitutet official
CGP-004,Eldrimner,Sweden,Ås (Östersund),63.18,14.63,wheat;rye;barley;spelt;oat,1995,200,0.0,research_network,education;baking;heritage_conservation,Dala Lantvete;Kungs-Rye,https://www.eldrimner.com,National Centre for Small-Scale Artisan Food Processing; courses on sourdough and heritage grain baking; UNESCO Creative Cities partner,Eldrimner official; UNESCO Östersund
CGP-005,Hidden in Grains,Sweden,Visby,57.64,18.30,wheat;emmer;einkorn;spelt;barley,2015,15,30.0,co-op,grain_growing;milling;marketing;heritage_conservation,Einkorn;Emmer;Ölandsvete,https://hiddeningrains.se,Gotland-based grain company working closely with Allkorn; sources ancient grains from Nordic farmers and mills heritage flour,Hidden in Grains official
CGP-006,Stangeland Mølle,Norway,Sandnes,58.85,5.73,oat;barley;rye;spelt;wheat,1846,25,0.0,community_mill,milling;grain_growing;heritage_conservation,Mirakel;Belinda;Brage,https://stangeland-molle.no,Historic Norwegian stone mill operating since 1846; uses 1927 German stone mill; processes five grain types from local Norwegian farmers,Stangeland Mølle official
CGP-007,NORSØK Heritage Grain Project,Norway,Tingvoll,62.91,8.20,wheat;barley;oat;rye,2016,30,15.0,research_network,breeding;heritage_conservation;education,Mirakel;Runar;Magnifik;Fredrika,https://www.norsok.no,Norwegian Centre for Organic Agriculture; field trials comparing 25 old and modern spring wheat varieties for organic growing and artisan baking,NORSØK official
CGP-008,Organic Denmark Grain Network,Denmark,Aarhus,56.16,10.20,wheat;rye;barley;oat;spelt,1987,500,0.0,co-op,grain_growing;marketing;education;heritage_conservation,,https://www.organicdenmark.com,Økologisk Landsforening grain section; promotes organic and heritage cereal cultivation across Denmark; works with Valsemøllen mills,Organic Denmark official
CGP-009,Boreal Plant Breeding Heritage Program,Finland,Jokioinen,60.81,23.50,wheat;barley;oat;rye,1994,40,200.0,research_network,breeding;heritage_conservation,Veli;Urho;Niklas;Akseli;Elonkerjuu,https://www.boreal.fi,Finnish plant breeding company with heritage variety preservation program; breeds for extreme northern adaptation and winterhardiness,Boreal official
CGP-010,Helsinki Mills Heritage Project,Finland,Järvenpää,60.47,25.09,rye;oat;barley;wheat,1934,30,0.0,community_mill,milling;heritage_conservation;marketing,Akseli;Niklas,https://helsinkimills.com,Family-owned since 1934; Finland's largest organic cereal producer; carbon-neutral milling from Finnish heritage grains,Helsinki Mills official
CGP-011,Heritage Grain Trust,United Kingdom,Buckinghamshire,51.75,-0.83,wheat;rye;barley;spelt;emmer;einkorn,2009,100,25.0,seed_commons,heritage_conservation;seed_saving;breeding;education,Emmer;Einkorn;Rouge de Bordeaux;Turkey Red,https://www.heritagegraintrust.org,Founded by archaeobotanist John Letts; collects heritage grains from gene banks worldwide; supplies Oxford Artisan Distillery with ancient varieties,Heritage Grain Trust official
CGP-012,Scotland The Bread,United Kingdom,St Monans (Fife),56.20,-2.77,wheat;rye,2012,300,80.0,co-op,grain_growing;milling;breeding;education,Red Fife;Marquis,https://scotlandthebread.org,Not-for-profit cooperative owned by 300+ members; grows evolutionary wheat and rye on Balcaskie Estate; pioneered cyclone milling in UK,Scotland The Bread official
CGP-013,Brockwell Bake Association,United Kingdom,London,51.45,-0.11,wheat;rye,2008,150,2.0,community_garden,grain_growing;baking;education;heritage_conservation,Rouge de Bordeaux;Red Fife;Turkey Red,https://www.brockwell-bake.org.uk,South London community growing heritage wheat since 2008; partners with organic farms in Sussex and Kent; promotes fresh-milled flour,Brockwell Bake Association official
CGP-014,Hodmedod's,United Kingdom,Brampton (Suffolk),52.38,1.52,wheat;rye;barley;oat;beans;lentils,2012,50,500.0,co-op,grain_growing;marketing;heritage_conservation,Red Fife,https://hodmedods.co.uk,British grain and pulse revival company; grew UK's first commercial lentil crop in 2017; BBC Food & Farming Award winner 2017,Hodmedod's official; Wikipedia
CGP-015,Wakelyns Agroforestry,United Kingdom,Fressingfield (Suffolk),52.35,1.31,wheat;rye;oat;beans,1994,20,22.0,research_network,breeding;grain_growing;heritage_conservation,Red Fife;Emmer,https://wakelyns.co.uk,Pioneering agroforestry research farm; created YQ population wheat with Organic Research Centre; 50+ acres of agroforestry,Wakelyns official; Hodmedod's
CGP-016,Real Bread Campaign,United Kingdom,London,51.53,-0.10,wheat;rye;spelt;barley,2008,3000,0.0,research_network,baking;education;heritage_conservation;marketing,,https://www.sustainweb.org/realbread,Project of Sustain alliance; supports eight regional grain networks across UK; Real Bread For All community workshops,Real Bread Campaign official
CGP-017,The Bread Lab,USA,Burlington (Washington),48.47,-122.33,wheat;rye;barley;buckwheat;beans,2011,50,40.0,research_network,breeding;baking;milling;education,Glenn;Sonora;Turkey Red,https://breadlab.wsu.edu,WSU research lab founded by Dr Stephen Jones; 8000+ variety seed library; created Skagit 1109 whole-wheat variety; partners with top artisan bakers,WSU Bread Lab official
CGP-018,Maine Grain Alliance,USA,Skowhegan (Maine),44.77,-69.72,wheat;rye;barley;oat;buckwheat,2007,400,0.0,research_network,education;grain_growing;milling;baking,Red Fife;Glenn;Turkey Red,https://kneadingconference.com,Runs annual Kneading Conference drawing farmers millers and bakers from across US; followed by Maine Artisan Bread Fair with 3000+ attendees,Maine Grain Alliance official
CGP-019,Northern Plains Sustainable Agriculture Society,USA,LaMoure (North Dakota),46.36,-98.29,wheat;rye;barley;oat,1985,300,0.0,research_network,grain_growing;education;heritage_conservation,Glenn;Marquis;Turkey Red,https://www.npsas.org,Promotes sustainable grain farming across 17 states; education research and advocacy for organic and heritage grain in Northern Plains,NPSAS official
CGP-020,Carolina Ground,USA,Asheville (North Carolina),35.56,-82.57,wheat;rye;buckwheat;corn,2012,15,0.0,community_mill,milling;grain_growing;education,Turkey Red;Red Fife,https://carolinaground.com,Micro flour mill founded by Jennifer Lapidus; grinds 500-1000 kg grain daily on Austrian stone mill; sources from local organic farms,Carolina Ground official
CGP-021,Grist & Toll,USA,Pasadena (California),34.15,-118.15,wheat;rye;corn;buckwheat,2014,10,0.0,community_mill,milling;heritage_conservation;education,Sonora,https://gristandtoll.com,LA's first urban flour mill; founded by Nan Kohler; specializes in California-grown heritage Sonora wheat; Austrian wooden stone mill,Grist & Toll official
CGP-022,Ironwood Organics,Canada,Ottawa (Ontario),45.42,-75.70,wheat;rye;oat;barley,2015,8,40.0,grain_csa,grain_growing;heritage_conservation;milling,Red Fife;Marquis;AC Hazlet,https://www.ironwoodorganics.ca,Eastern Ontario organic farm growing heritage grains; supports local baking and brewing community; nutrient-dense grain focus,Ironwood Organics official
CGP-023,BC Grain Producers Association,Canada,Dawson Creek (British Columbia),55.76,-120.24,wheat;barley;oat;rye,1995,250,0.0,co-op,grain_growing;marketing;education,Red Fife;Marquis,https://bcgrain.com,Provincial grain producers association; promotes local grain economy in BC; works with heritage grain farmers like Dan Jason of Salt Spring Seeds,BC Grain Producers Association official
CGP-024,Réseau Semences Paysannes,France,Aiguillon,44.30,0.34,wheat;rye;barley;oat;corn;spelt;emmer;einkorn,2003,3000,0.0,seed_commons,seed_saving;breeding;heritage_conservation;education,Rouge de Bordeaux;Einkorn;Emmer,https://www.semencespaysannes.org,French farmers' seed network with 70+ member organizations and ~40 Seed Houses across France; promotes peasant seed sovereignty and dynamic on-farm management,Réseau Semences Paysannes official
CGP-025,Association Kokopelli,France,Le Mas d'Azil,43.09,1.36,wheat;rye;barley;oat;spelt;emmer;einkorn,1999,8000,0.0,seed_library,seed_saving;heritage_conservation;education,Rouge de Bordeaux;Einkorn;Emmer,https://kokopelli-semences.com,French association promoting heirloom seeds; 1600-2000 references including grains; works with 30 certified organic seed producers; branches in 6 countries,Association Kokopelli official; Wikipedia
CGP-026,Les Maîtres de Mon Moulin,France,Cucugnan,42.84,2.56,wheat;rye;spelt;emmer;einkorn,2006,12,50.0,community_mill,milling;baking;heritage_conservation;education,Rouge de Bordeaux;Einkorn;Emmer,https://lesmaitresdemonmoulin.com,Restored windmill in Cucugnan by Roland Feuillas; sources ancient grains from ~12 organic farmers; over 500 people trained in heritage grain baking,Les Maîtres de Mon Moulin official
CGP-027,IG Saatgut,Germany,Bonn,50.74,7.10,wheat;rye;barley;oat;spelt,2005,100,0.0,seed_commons,seed_saving;heritage_conservation;breeding;education,,https://www.ig-saatgut.de,Interest group for GE-free seed work; European network of seed conservation organizations and breeders; advocates against seed patents,IG Saatgut official
CGP-028,Saat:gut e.V.,Germany,Bingenheim,50.38,8.86,wheat;rye;barley;oat;spelt,2009,150,30.0,seed_commons,breeding;seed_saving;heritage_conservation,Oberkulmer Rotkorn;Frankenkorn,https://www.saat-gut.org,Organic open-pollinated seed breeding initiative backed by Bioland; breeds varieties for organic farming; works with Bingenheimer Saatgut AG,Saat:gut official; Bingenheimer Saatgut
CGP-029,Arche Noah,Austria,Schiltern,48.45,15.66,wheat;rye;barley;oat;spelt;emmer;einkorn,1990,14000,10.0,seed_commons,seed_saving;heritage_conservation;education,Oberkulmer Rotkorn;Einkorn;Emmer,https://www.arche-noah.at,Austrian association preserving crop diversity; 5500 accessions including rare cereals; 800+ varieties of beans; network of hundreds of private seed savers,Arche Noah official
CGP-030,ProSpecieRara,Switzerland,Basel,47.56,7.59,wheat;rye;barley;oat;spelt;emmer,1982,650,0.0,seed_commons,seed_saving;heritage_conservation;breeding;education,Oberkulmer Rotkorn;Emmer,https://www.prospecierara.ch,Swiss foundation for heritage crop and livestock preservation; 1250+ maintained varieties; network of 650 volunteer seed savers; initiated seed ordinance reform,ProSpecieRara official; Wikipedia
CGP-031,Latvian Permaculture Association Seed Savers,Latvia,Riga,56.95,24.11,wheat;rye;barley;oat,2011,100,5.0,seed_library,seed_saving;heritage_conservation;education,Priekuli 481,https://growingseedsavers.org/lv/,Latvian heritage plant network with 150+ identified local varieties; coordinates with Baltic seed savers in Estonia Lithuania and Denmark via NORDPLUS project,Latvian Permaculture Association; Growing Seed Savers
CGP-032,Jõgeva Plant Breeding Gene Bank,Estonia,Jõgeva,58.75,26.40,wheat;rye;barley;oat,1920,40,80.0,seed_commons,heritage_conservation;breeding;seed_saving,Ada;Semu 509,https://www.genres.ee,Estonian crop gene bank with oldest accessions dating to 1875 (Sangaste rye); stores seeds at -18C per FAO standards; deposits to Svalbard Global Seed Vault,Estonian Crop Research Institute official; NordGen
CGP-033,Gamtines Žemdirbystes Institutas,Lithuania,Kaunas,54.90,23.89,wheat;rye;barley;oat;millet,2015,60,3.0,seed_library,seed_saving;heritage_conservation;education,,https://growingseedsavers.org/lt/,Lithuanian Natural Agriculture Institute; seed exchanges and heritage plant preservation; part of Baltic Growing Seed Savers network,Growing Seed Savers; FAO Lithuania report
CGP-034,Ölverk Pizza & Brewery,Iceland,Hveragerdi,64.00,-21.18,barley,2017,8,2.0,co-op,grain_growing;heritage_conservation,Bjarni,https://www.olverk.is,Family-owned geothermally powered brewery in Hveragerði; brews with Icelandic-grown barley using geothermal steam; part of Icelandic grain revival,Ölverk official; Reykjavik Grapevine
CGP-035,Faroese Grain Revival (CEREAL NPA),Faroe Islands,Tórshavn,62.01,-6.77,barley,2018,20,5.0,research_network,heritage_conservation;grain_growing;breeding,,https://cereal.interreg-npa.eu,Interreg NPA CEREAL project reviving barley cultivation in Faroe Islands; ancient Tampar and Sigur barley varieties; 300kg harvest used by Føroya Bjór brewery,NPA CEREAL project; ResearchGate
CGP-036,Flatbread Society,Norway,Oslo,59.91,10.75,wheat;rye;barley;oat,2012,200,0.5,community_garden,baking;education;heritage_conservation;grain_growing,Mirakel;Runar,https://flatbreadsociety.net,Oslo-based art and food sovereignty project; community grain field on Losæter urban farm; visited VIR Vavilov Institute for seed heritage research,Flatbread Society official
CGP-037,VIR Friends of Vavilov Heritage Network,Russia,Saint Petersburg,59.93,30.32,wheat;rye;barley;oat;emmer;einkorn,1921,100,0.0,seed_commons,heritage_conservation;seed_saving;breeding;education,Bezostaya 1;Mironovskaya 808;Chulpan,https://www.vir.nw.ru,Community connected to N.I. Vavilov All-Russian Institute of Plant Genetic Resources; world's oldest and largest seed bank with 330000+ accessions spanning 2169 species,VIR official; Atlas Obscura; Crop Trust
CGP-038,Salt Spring Seeds,Canada,Salt Spring Island (British Columbia),48.83,-123.51,wheat;barley;oat;rye;buckwheat;quinoa,1988,5,3.0,seed_library,seed_saving;heritage_conservation;education,Red Fife;Marquis,https://www.saltspringseeds.com,Dan Jason's heritage seed farm; 30+ years collecting and testing 40+ traditional grain varieties from around the world; major Pacific Northwest seed source,Salt Spring Seeds catalog; BC Farms & Food
