species,common_name,family,crop_group,domesticated_relative,native_range,min_survival_temp_c,cold_mechanism,usda_zone,conservation_status,grin_available,breeding_use,notes,source
Malus baccata,Siberian crabapple,Rosaceae,fruit,Malus domestica (apple),Siberia; Mongolia; northern China,-50,Deep supercooling of xylem; early dormancy onset,1,Least Concern,yes,Rootstock; cold hardiness donor,Hardiest apple species; fruit 1cm diameter; important rootstock worldwide,Forsline et al. HortScience 38:1 2003
Malus sieversii,Kazakh wild apple,Rosaceae,fruit,Malus domestica (apple),Tian Shan mountains Kazakhstan,-35,Moderate cold tolerance; ancestral diversity,3,Vulnerable,yes,Primary progenitor of M. domestica,Collected by Vavilov; forests being lost; large fruit with diverse phenotypes,Harris et al. J Linn Soc 162:256 2010
Pyrus ussuriensis,Ussurian pear,Rosaceae,fruit,Pyrus communis (pear),Russian Far East; NE China; Korea,-40,Deep supercooling; bark desiccation tolerance,2,Least Concern,yes,Cold hardiness; fireblight resistance,Hardiest pear species; small astringent fruit; parent of Ure and other cold-hardy cultivars,Westwood & Bjornstad HortScience 6:136 1971
Vitis amurensis,Amur grape,Vitaceae,vine,Vitis vinifera (grape),Amur River valley; NE China; Korea,-40,Early growth cessation; rapid deep acclimation; high resveratrol,2,Least Concern,yes,Major cold tolerance donor for wine grapes,Hardiest Vitis species; used in Chinese and Russian grape breeding; short season,Fennell Plant Mol Biol 59:909 2005
Vitis riparia,Riverbank grape,Vitaceae,vine,Vitis vinifera (grape),Eastern North America,-40,Rapid dormancy induction; photoperiod sensitive,2,Least Concern,yes,Rootstock; cold hardiness; phylloxera resistance,Native N. American grape; parent of Frontenac/Marquette; critical for hybrid wine grapes,Luby & Fennell Acta Hort 689:1 2005
Vitis labrusca,Fox grape,Vitaceae,vine,Vitis vinifera (grape),Eastern North America,-30,Moderate cold tolerance; thick bark,3,Least Concern,yes,Table grape breeding; foxy aroma,Parent of Concord; native American grape; used for juice and jelly,Reisch et al. HortScience 47:858 2012
Lonicera caerulea var. kamtschatica,Kamchatka haskap,Caprifoliaceae,berry,Lonicera caerulea (haskap),Kamchatka; NE Siberia,-50,ICE-CBF-COR pathway; flower tolerance -7C,1,Least Concern,limited,Primary cold tolerance source for haskap breeding,Wildtype tolerates -50C; flowers survive -7C; chromosome-scale genome published 2024,Chen et al. J Advanced Research 2024
Lonicera caerulea var. edulis,Edible haskap (Japanese),Caprifoliaceae,berry,Lonicera caerulea (haskap),Hokkaido Japan; Kuril Islands,-35,Moderate cold tolerance; early flowering,3,Least Concern,yes,Flavor; berry size; early season,Japanese selections for flavor and size; crossed with Russian for hardiness,Bors USask Fruit Program publications
Vaccinium angustifolium,Lowbush blueberry,Ericaceae,berry,Vaccinium corymbosum (highbush blueberry),NE North America,-40,Snow cover insulation; low-growing habit; CBF genes,2,Least Concern,yes,Parent of half-high hybrids; wild harvest crop,Wild-harvested commercially in Maine/Quebec; parent of Northblue/Polaris,Rowland et al. HortScience 43:1953 2008
Ribes nigrum var. sibiricum,Siberian black currant,Grossulariaceae,berry,Ribes nigrum (black currant),Siberia; Urals,-45,Early dormancy; dehydrin accumulation,2,Least Concern,limited,Extreme cold tolerance for currant breeding,Wild Siberian ecotype; source of hardiness genes; small berries,Brennan Acta Hort 585:1 2002
Fragaria vesca,Woodland strawberry,Rosaceae,berry,Fragaria × ananassa (garden strawberry),Europe; N. Asia; North America,-30,CBF gene family; small rosette habit; snow cover,3,Least Concern,yes,Reference genome; disease resistance; cold tolerance,Diploid model for strawberry genetics; genome sequenced; alpine forms very cold hardy,Shulaev et al. Nature Genetics 43:109 2011
Rubus idaeus subsp. strigosus,Wild red raspberry,Rosaceae,berry,Rubus idaeus (garden raspberry),North America,-40,Cane desiccation tolerance; crown hardiness,2,Least Concern,yes,Cold hardiness; disease resistance; flavor,North American wild raspberry; parent of Boyne/Killarney; dehydrin-mediated cold tolerance,Weber Plant Breeding 122:1 2003
Prunus fruticosa,Ground cherry,Rosaceae,fruit,Prunus cerasus (sour cherry),Central Europe to Siberia,-40,Dwarf habit; early dormancy,3,Least Concern,yes,Cold hardiness; dwarf habit; parent of Romance series,European steppe cherry; P. cerasus x P. fruticosa hybrids are extremely cold hardy,Iezzoni et al. HortScience 25:1202 1990
Prunus padus,Bird cherry,Rosaceae,fruit,Prunus spp.,Northern Europe; Siberia,-45,Extremely early dormancy; frost-adapted flowering,2,Least Concern,yes,Rootstock; ornamental; minimal fruit use,Circumboreal species; common in Scandinavian forests; very cold tolerant,Hjalmarsson & Wallace Acta Hort 538:1 2000
Hippophae rhamnoides subsp. rhamnoides,European sea buckthorn,Elaeagnaceae,berry,Hippophae rhamnoides cultivars,Coastal NW Europe; Central Asia,-43,Nitrogen fixation (Frankia); deep roots; waxy leaf surface,2,Least Concern,yes,Fruit quality; adaptation; nutritional content,N-fixing shrub; rich in omega-7; wild populations in Scandinavia and Central Asia,Rousi Ann Bot Fennici 8:177 1971
Amelanchier alnifolia,Saskatoon berry,Rosaceae,berry,Amelanchier cultivars,Western North America,-45,Deep crown dormancy; bark cold tolerance,2,Least Concern,yes,Direct domestication; ornamental,Wild-harvested by Indigenous peoples; cultivars: Thiessen/Smoky/Martin/Northline,St-Pierre et al. Can J Plant Sci 85:943 2005
Aronia melanocarpa,Black chokeberry,Rosaceae,berry,Aronia cultivars,Eastern North America,-40,Crown dormancy; stoloniferous habit,2,Least Concern,yes,Direct domestication; superfruit,Extremely cold hardy native shrub; highest ORAC antioxidant values of any fruit,Brand et al. HortScience 52:1565 2017
Hordeum spontaneum,Wild barley,Poaceae,cereal,Hordeum vulgare (barley),Fertile Crescent,-20,Limited cold tolerance; drought adapted,5,Least Concern,yes,Disease resistance; drought; genetic diversity,Wild progenitor of barley; H genome; limited winter hardiness vs cultivated types,Nevo et al. Evolution 40:631 1986
Secale vavilovii,Vavilov rye,Poaceae,cereal,Secale cereale (rye),Eastern Turkey; Armenia,-25,Annual habit; limited cold adaptation,4,Vulnerable,limited,Genetic diversity; disease resistance,Wild annual rye; named after Vavilov; smaller genome than S. cereale,Skuza et al. BMC Plant Biology 7:23 2007
Triticum urartu,Wild einkorn,Poaceae,cereal,Triticum aestivum (bread wheat),Fertile Crescent,-15,Limited cold tolerance; short vernalization,5,Least Concern,yes,A-genome donor for polyploid wheat,Diploid A-genome ancestor; limited frost tolerance but essential in wheat evolution,Ling et al. Nature 496:87 2013
Festuca pratensis,Meadow fescue,Poaceae,forage,Festuca pratensis cultivars,Europe; temperate Asia,-30,Crown tolerance; IRI proteins; dehydrin accumulation,3,Least Concern,yes,Forage grass; cold tolerance donor for Festulolium hybrids,Nordic forage grass; IRI gene family first characterized in this species; used in Festulolium,Sandve et al. Plant Physiol 144:171 2008
Phleum pratense subsp. nodosum,Wild timothy,Poaceae,forage,Phleum pratense cultivars,Northern Europe; Siberia,-35,Crown dormancy; CBF-mediated acclimation,2,Least Concern,yes,Cold tolerance source for timothy breeding,Wild timothy ecotypes from northern Scandinavia and Siberia; hardier than cultivated forms,Hulke et al. Crop Sci 48:2033 2008
Lolium perenne subsp. perenne,Wild perennial ryegrass,Poaceae,forage,Lolium perenne cultivars,Europe; N. Africa; W. Asia,-20,Limited cold tolerance; rapid autumn hardening,4,Least Concern,yes,Forage quality; disease resistance,Important forage grass; wild ecotypes used in cold tolerance breeding programs,Tamura & Yamada Plant Cell Physiol 48:536 2007
Dactylis glomerata,Orchardgrass,Poaceae,forage,Dactylis glomerata cultivars,Europe; N. Africa; W. Asia,-25,Crown tolerance; dehydrin-mediated,3,Least Concern,yes,Forage grass; shade tolerance; cold adaptation,Wild ecotypes from Scandinavia and Russia show improved winter survival,Casler et al. Crop Sci 42:870 2002
Prunus besseyi,Western sand cherry,Rosaceae,fruit,Prunus hybrid cultivars,Great Plains North America,-40,Dwarf habit; deep supercooling; bark desiccation tolerance,2,Least Concern,yes,Rootstock; dwarfing; cold hardiness for cherry/plum,Native Great Plains shrub; parent of Sapalta and CherUm hybrid crosses; extreme cold,Olson & Steeves Can J Bot 68:2395 1990
Prunus americana,American plum,Rosaceae,fruit,Prunus domestica (European plum),Eastern and Central North America,-40,Deep supercooling; early dormancy; bark cold tolerance,2,Least Concern,yes,Rootstock; cold hardiness; plum breeding parent,Native plum; extremely cold hardy; parent of many prairie plum cultivars (Pembina; Brookred),Okie et al. HortScience 43:1205 2008
Prunus nigra,Canada plum,Rosaceae,fruit,Prunus domestica (European plum),NE North America,-45,Deep supercooling; extremely early dormancy,2,Least Concern,yes,Rootstock; cold hardiness donor; ornamental,Hardiest Prunus species; native to Manitoba and Ontario; parent of cold-hardy plum cultivars,Okie et al. HortScience 43:1205 2008
Ribes dikuscha,Wild gooseberry,Grossulariaceae,berry,Ribes uva-crispa (European gooseberry),Russian Far East; NE China,-40,Early dormancy; bark tolerance; dehydrin accumulation,2,Least Concern,limited,Cold tolerance; disease resistance for currant/gooseberry,Wild Ribes species from Amur region; extremely cold hardy; used in Russian breeding,Brennan Acta Hort 585:1 2002
Ribes aureum,Golden currant,Grossulariaceae,berry,Ribes nigrum (black currant),Central and Western North America,-35,Drought and cold adapted; deep root system,3,Least Concern,yes,Rootstock; ornamental; cold tolerance,Native N. American Ribes; used as rootstock for currant and gooseberry cultivation,Barney & Hummer HortScience 40:1784 2005
Ribes hudsonianum,Northern black currant,Grossulariaceae,berry,Ribes nigrum (black currant),Northern North America; Alaska,-45,Crown dormancy; bark desiccation tolerance; snow cover adaptation,2,Least Concern,yes,Cold hardiness; mildew resistance,Wild black currant of boreal North America; important cold tolerance gene source,Barney & Hummer HortScience 40:1784 2005
Medicago falcata,Yellow-flowered alfalfa,Fabaceae,legume,Medicago sativa (alfalfa),Siberia; Central Asia,-40,Crown dormancy; fructan accumulation; deep roots,2,Least Concern,yes,Winter survival genes for alfalfa breeding,Siberian ecotypes survive -40C; crossed with M. sativa for winter-hardy alfalfa cultivars,Brouwer et al. Crop Sci 40:1387 2000
Trifolium hybridum,Alsike clover,Fabaceae,legume,Trifolium pratense (red clover),Northern Europe; Siberia,-35,Crown tolerance; snow cover adaptation,3,Least Concern,yes,Forage legume; wet soil tolerance; cold hardiness,Scandinavian origin; more winter-hardy than red or white clover; tolerates acidic wet soils,Taylor & Quesenberry Red Clover Science 1996
Astragalus cicer,Cicer milkvetch,Fabaceae,legume,Astragalus spp.,Central Asia; Siberia,-35,Deep crown dormancy; extensive root system,2,Least Concern,yes,Forage legume; erosion control; cold tolerance,Siberian forage legume; extremely cold hardy; rhizomatous; slow establishment,Townsend Prairie Nat 25:165 1993
Hippophae rhamnoides subsp. mongolica,Mongolian sea buckthorn,Elaeagnaceae,berry,Hippophae rhamnoides cultivars,Mongolia; Siberia; NE China,-45,Nitrogen fixation (Frankia); extreme bark cold tolerance; waxy cuticle,2,Least Concern,yes,Fruit quality; extreme cold tolerance; drought,Mongolian ecotypes hardier than European; larger fruit; major Chinese cultivar source,Rousi Ann Bot Fennici 8:177 1971
Hippophae rhamnoides subsp. turkestanica,Turkestan sea buckthorn,Elaeagnaceae,berry,Hippophae rhamnoides cultivars,Central Asia; Himalaya,-35,Nitrogen fixation; altitude adaptation; deep root system,3,Least Concern,limited,Drought tolerance; fruit oil content; high altitude,High-altitude ecotype; adapted to continental extremes; used in Chinese and Indian breeding,Swenson & Bartish Bot J Linn Soc 138:421 2002
Vaccinium myrtillus,European bilberry,Ericaceae,berry,Vaccinium corymbosum (highbush blueberry),Northern Europe; Siberia,-40,Snow cover adaptation; low-growing habit; CBF genes,2,Least Concern,yes,Anthocyanin content; cold adaptation; wild harvest,Circumboreal wild berry; commercially wild-harvested in Scandinavia; genome sequenced,Rowland et al. HortScience 43:1953 2008
Vaccinium uliginosum,Bog blueberry,Ericaceae,berry,Vaccinium corymbosum (highbush blueberry),Arctic-alpine circumboreal,-45,Snow cover; low prostrate habit; antifreeze proteins,2,Least Concern,yes,Extreme cold tolerance gene source for blueberry,Arctic-alpine species; grows to 70N latitude; hardiest Vaccinium species,Trehane Blueberries Cranberries and Other Vacciniums 2004
Vaccinium oxycoccos,Small cranberry,Ericaceae,berry,Vaccinium macrocarpon (American cranberry),Northern Europe; N. Asia,-40,Prostrate evergreen; snow insulation; low growth habit,2,Least Concern,yes,Cold tolerance; trailing habit for cranberry improvement,Wild European cranberry; smaller fruit than American; hardy to zone 2,Trehane Blueberries Cranberries and Other Vacciniums 2004
Amelanchier bartramiana,Mountain serviceberry,Rosaceae,berry,Amelanchier alnifolia (Saskatoon berry),NE North America,-40,Compact habit; bark tolerance; snow cover,2,Least Concern,yes,Compact form; disease resistance; cold hardiness,Alpine/boreal Amelanchier; grows at treeline; potential compact rootstock,St-Pierre et al. Can J Plant Sci 85:943 2005
Actinidia kolomikta,Arctic kiwi,Actinidiaceae,vine,Actinidia chinensis (kiwifruit),Russian Far East; NE China; Korea,-40,Early dormancy; deciduous habit; bark desiccation tolerance,3,Least Concern,yes,Cold tolerance donor for kiwi breeding; ornamental,Hardiest Actinidia species; small sweet fruit; survives -40C; variegated foliage,Ferguson & Huang Acta Hort 498:1 1999
Pisum fulvum,Tawny pea,Fabaceae,legume,Pisum sativum (garden pea),Eastern Mediterranean; Middle East,-10,Annual; limited cold tolerance; drought escape via early maturity,6,Near Threatened,yes,Disease resistance (Ascochyta; bruchid beetle); genetic diversity,Wild pea species; primary gene pool for Ascochyta blight resistance; small seeds; annual,Smykal et al. Mol Breed 30:1 2012
Pisum sativum subsp. elatius,Wild pea,Fabaceae,legume,Pisum sativum (garden pea),Mediterranean; Caucasus; Central Asia,-15,Annual/winter annual; moderate vernalization response,5,Least Concern,yes,Progenitor of cultivated pea; disease resistance; genetic diversity,Wild ancestor of garden pea; diverse ecotypes across Mediterranean and Caucasus; large gene pool,Kosterin & Bogdanova Vavilov J Genet Breed 19:590 2015
Prunus avium subsp. avium,Wild sweet cherry,Rosaceae,fruit,Prunus avium cultivars (sweet cherry),Europe; Western Asia; N. Africa,-30,Moderate cold tolerance; bark hardiness; early dormancy,4,Least Concern,yes,Rootstock (Mazzard); disease resistance; genetic base for cherry breeding,Wild-type cherry native to European forests; progenitor of all sweet cherry cultivars; variable fruit size,Tavaud et al. Mol Ecol 13:2189 2004
Prunus mahaleb,Mahaleb cherry,Rosaceae,fruit,Prunus avium cultivars (sweet cherry),Mediterranean; Central Asia,-25,Drought tolerance; deep root system; bark cold tolerance,4,Least Concern,yes,Rootstock; drought tolerance; fragrant wood (used in spice trade),Mediterranean cherry; important rootstock species; not cold hardy below zone 4; fragrant seeds,Tavaud et al. Mol Ecol 13:2189 2004
Vicia narbonensis,Narbon vetch,Fabaceae,legume,Vicia faba (faba bean),Mediterranean; Middle East,-10,Annual; limited frost tolerance; drought adapted,6,Least Concern,yes,Faba bean improvement; bruchid resistance; protein content,Wild relative of faba bean; large seeds for a wild Vicia; important gene donor for pest resistance,Maxted et al. Plant Genet Resour 2:183 2004
Lens nigricans,Black-seeded lentil,Fabaceae,legume,Lens culinaris (lentil),Mediterranean; Southern Europe,-10,Annual; limited cold tolerance; drought escape,6,Least Concern,limited,Disease resistance; drought tolerance; genetic diversity for lentil,Wild lentil relative; difficult crossing with cultivated lentil; source of Ascochyta resistance,Gupta & Sharma Euphytica 150:355 2006
Phleum alpinum,Alpine timothy,Poaceae,forage,Phleum pratense (timothy),Arctic-alpine circumboreal,-40,Low-growing habit; snow cover adaptation; rapid spring growth,2,Least Concern,yes,Cold hardiness genes; short-season adaptation for timothy breeding,Alpine/arctic timothy; grows at high latitude and altitude; potential source of extreme cold tolerance,Hulke et al. Crop Sci 48:2033 2008
Festuca vivipara,Viviparous fescue,Poaceae,forage,Festuca pratensis (meadow fescue),Arctic-alpine Europe; Iceland,-35,Viviparous reproduction (plantlets instead of seed); extreme cold,2,Least Concern,limited,Cold survival mechanism research; viviparous trait study,Arctic fescue that reproduces by vivipary; grows in Iceland and Svalbard; unique frost survival,Heide Nordic J Bot 8:149 1988
Trifolium ambiguum,Kura clover,Fabaceae,legume,Trifolium repens (white clover),Caucasus Mountains,-35,Deep rhizomatous root system; crown dormancy; slow establishment,3,Least Concern,yes,Extreme persistence; cold hardiness; grazing tolerance for clover improvement,Caucasian clover; extremely winter-hardy once established; hexaploid races most cold tolerant,Taylor & Smith Crop Sci 38:1256 1998
