eppo_code,pathogen_name,common_name,host_crops,pathogen_type,geographic_range,severity,cold_climate_risk,management,quarantine_eu,notes,source
PUCCRT,Puccinia triticina,Wheat leaf rust,wheat;spelt;emmer;einkorn;triticale,fungus,Global,high,moderate,Resistant cultivars;fungicide application;crop rotation,false,Major yield-limiting disease; heritage wheats often lack Lr resistance genes,gd.eppo.int
PUCCST,Puccinia striiformis,Wheat stripe rust (yellow rust),wheat;spelt;emmer;einkorn;triticale,fungus,Global (cool-temperate),very_high,high,Resistant cultivars;foliar fungicides;early sowing avoidance,false,Favoured by cool moist conditions; increasing in Scandinavia with climate change,gd.eppo.int
PUCCGT,Puccinia graminis f.sp. tritici,Wheat stem rust,wheat;spelt;emmer;einkorn;barley;rye;triticale,fungus,Global,very_high,moderate,Sr resistance genes;fungicides;eradication of Berberis spp.,false,Ug99 lineage threatens heritage wheats lacking Sr31/Sr38; wind-borne long-distance dispersal,gd.eppo.int
GIBBZE,Fusarium graminearum,Fusarium head blight (FHB),wheat;spelt;emmer;einkorn;barley;oat;triticale;rye,fungus,Temperate worldwide,very_high,high,Resistant cultivars;crop rotation (avoid maize);fungicides at anthesis;DON monitoring,false,Primary DON mycotoxin producer; warm humid flowering conditions trigger epidemics; critical for grain quality,gd.eppo.int
ZYMTR1,Zymoseptoria tritici,Septoria tritici blotch (STB),wheat;spelt;emmer;triticale,fungus,Temperate worldwide,high,high,Resistant cultivars;fungicides;crop residue management,false,Dominant foliar disease in NW Europe; rain-splash dispersed; heritage wheats vary in Stb gene content,gd.eppo.int
LEPTNO,Parastagonospora nodorum,Septoria nodorum blotch (SNB),wheat;spelt;emmer;triticale,fungus,Temperate worldwide,moderate,moderate,Resistant cultivars;seed treatment;crop rotation,false,Both seed-borne and rain-splash; more common in Nordic spring wheat,gd.eppo.int
ERYSGT,Blumeria graminis f.sp. tritici,Powdery mildew of wheat,wheat;spelt;emmer;einkorn;triticale,fungus,Temperate worldwide,moderate,moderate,Mlo/Pm resistance genes;fungicides;avoid dense sowing,false,Heritage wheats often carry Pm genes from wild emmer; spelt and emmer show variable resistance,gd.eppo.int
MONONI,Microdochium nivale,Pink snow mould,wheat;rye;barley;oat;triticale;forage grasses,fungus,Northern Europe;North America;Japan,high,very_high,Snow mould-tolerant cultivars;avoid late sowing;fungicide seed treatment,false,Most important winter-kill pathogen in Scandinavia; attacks under snow cover at 0-5 C,gd.eppo.int
TYPHIC,Typhula incarnata,Grey snow mould (speckled snow mould),wheat;rye;barley;triticale;forage grasses,fungus,Northern Europe;North America;Japan,moderate,very_high,Tolerant cultivars;avoid excessive N;seed treatment,false,Requires prolonged snow cover >90 days; major in Finland and northern Sweden,gd.eppo.int
SCLEBO,Sclerotinia borealis,Snow scald,wheat;rye;barley;forage grasses,fungus,Arctic and subarctic regions,moderate,very_high,Tolerant cultivars;snow management;crop rotation,false,Restricted to regions with >100 days snow cover; serious in northern Scandinavia and Iceland,gd.eppo.int
GAEUGT,Gaeumannomyces tritici,Take-all,wheat;barley;rye;triticale,fungus,Temperate worldwide,high,moderate,Crop rotation (break crops);seed treatment with silthiofam;take-all decline,false,Soil-borne root disease; worse in continuous wheat; heritage cultivars generally susceptible,gd.eppo.int
PYRNTE,Pyrenophora teres,Barley net blotch,barley,fungus,Temperate worldwide,high,high,Resistant cultivars;fungicides;crop rotation;seed treatment,false,Net and spot forms both present in Nordic barley; major yield-limiting disease,gd.eppo.int
RHYNSE,Rhynchosporium commune,Barley scald (leaf blotch),barley;rye,fungus,Temperate worldwide,high,high,Resistant cultivars;fungicides;crop residue removal,false,Favoured by cool wet weather; dominant in Nordic spring barley,gd.eppo.int
PUCCCO,Puccinia coronata f.sp. avenae,Oat crown rust,oat,fungus,Temperate worldwide,high,moderate,Resistant cultivars (Pc genes);fungicides;eradicate Rhamnus spp.,false,Most damaging disease of oats; heritage oat varieties often lack Pc resistance,gd.eppo.int
CLAVPU,Claviceps purpurea,Ergot,rye;wheat;barley;triticale;forage grasses,fungus,Temperate worldwide,high,high,Clean seed;deep ploughing;avoid open-flowering cultivars;mow field margins,false,Rye is most susceptible due to cross-pollination; ergot alkaloids are toxic; critical for rye bread and spirits,gd.eppo.int
USTINT,Ustilago tritici,Loose smut of wheat,wheat;spelt;emmer;einkorn,fungus,Global,moderate,moderate,Systemic seed treatment (carboxin;thiram);resistant cultivars,false,Seed-borne; internal mycelium; heritage seed lots may carry higher inoculum,gd.eppo.int
TILLCA,Tilletia caries,Common bunt (covered smut),wheat;spelt;emmer;einkorn;triticale,fungus,Temperate worldwide,moderate,high,Seed treatment;resistant cultivars (Bt genes);organic seed certification,false,Produces trimethylamine (fishy smell); serious in organic heritage grain production where chemical seed treatment is unavailable,gd.eppo.int
BYDV00,Barley yellow dwarf virus,Barley yellow dwarf (BYD),wheat;barley;oat;rye;triticale;forage grasses,virus,Global,high,moderate,Aphid vector control;tolerant cultivars (Ryd2 in barley);late sowing to avoid autumn aphid flights,false,Aphid-vectored; Rhopalosiphum padi main vector in Nordic regions; autumn infections most damaging,gd.eppo.int
FUSACU,Fusarium culmorum,Fusarium foot rot and head blight,wheat;barley;oat;rye;triticale,fungus,Temperate worldwide,high,high,Crop rotation;resistant cultivars;seed treatment;DON/NIV monitoring,false,Dominant Fusarium species in cooler climates; produces DON and nivalenol; often more prevalent than F. graminearum in Scandinavia,gd.eppo.int
RAMSCO,Ramularia collo-cygni,Ramularia leaf spot of barley,barley,fungus,Northern Europe;Australasia,moderate,high,Fungicides (chlorothalonil alternatives);resistant cultivars;crop rotation,false,Rapidly increasing in Nordic barley; latent seed-borne phase; visible late in season,gd.eppo.int
VENTAI,Venturia inaequalis,Apple scab,apple,fungus,Temperate worldwide,very_high,high,Resistant cultivars (Vf/Rvi genes);fungicide programmes;leaf litter removal,false,Dominant apple disease in Nordic orchards; heritage apple cultivars vary widely in resistance,gd.eppo.int
ERWIAM,Erwinia amylovora,Fire blight,apple;pear,bacteria,North America;Europe;Middle East,very_high,moderate,Quarantine;pruning;copper sprays;streptomycin (where allowed);resistant rootstocks,true,EU quarantine pest; spreading northward; detected in southern Sweden; devastating to susceptible heritage apple varieties,gd.eppo.int
MONIFG,Monilinia fructigena,Brown rot of pome fruit,apple;pear;plum;cherry,fungus,Europe;Asia,high,moderate,Pruning infected twigs;fungicides;fruit thinning;harvest hygiene,false,Common in Nordic stone and pome fruit; related M. laxa attacks blossoms,gd.eppo.int
PODOLE,Podosphaera leucotricha,Powdery mildew of apple,apple,fungus,Temperate worldwide,moderate,moderate,Resistant cultivars;fungicides;pruning infected shoots,false,Heritage apples vary in susceptibility; less severe in cold wet Nordic summers,gd.eppo.int
BOTRCI,Botrytis cinerea,Grey mould (botrytis),grape;strawberry;raspberry;currant;apple;pear;legumes,fungus,Global,high,high,Ventilation;fungicides;harvest timing;resistant cultivars,false,Ubiquitous; major pre- and post-harvest pathogen in Nordic berry and fruit production,gd.eppo.int
PLASVI,Plasmopara viticola,Downy mildew of grapevine,grape,oomycete,Global (wine regions),high,low,Copper-based sprays;resistant cultivars;canopy management,false,Limited cold-climate risk; relevant for emerging Nordic viticulture with hybrid grape varieties (Solaris;Rondo),gd.eppo.int
UNCINE,Erysiphe necator,Powdery mildew of grapevine,grape,fungus,Global (wine regions),high,low,Sulphur sprays;resistant cultivars;canopy management,false,Low risk in cold climates but relevant for greenhouse and tunnel viticulture in Scandinavia,gd.eppo.int
AGRBTU,Agrobacterium tumefaciens,Crown gall,apple;pear;cherry;grape;raspberry;rose,bacteria,Global,moderate,moderate,Pathogen-free planting material;biological control (Agrobacterium radiobacter K84);avoid wounding,false,Wound-entry pathogen; frost cracks in Nordic climates provide infection sites,gd.eppo.int
PSDMSY,Pseudomonas syringae pv. syringae,Bacterial canker of cherry and stone fruit,cherry;plum,bacteria,Temperate worldwide,high,high,Copper sprays;pruning in dry weather;resistant rootstocks;wound protection,false,Frost and winter injury predispose trees; serious problem in Nordic cherry orchards,gd.eppo.int
SPHRMU,Podosphaera mors-uvae,American gooseberry mildew,gooseberry;currant,fungus,Europe;North America,high,high,Resistant cultivars;fungicides;pruning for air circulation,false,Historically devastated European gooseberry cultivars; Nordic heritage varieties vary in resistance,gd.eppo.int
DREPRI,Drepanopeziza ribis,Anthracnose of currant and gooseberry,currant;gooseberry,fungus,Northern Europe;North America,moderate,high,Resistant cultivars;fungicides;leaf litter removal,false,Common in Nordic Ribes production; causes premature defoliation,gd.eppo.int
LEPTCO,Leptosphaeria coniothyrium,Raspberry cane blight,raspberry,fungus,Temperate worldwide,moderate,high,Pruning and removal of infected canes;fungicides;avoid cane damage,false,Enters through wounds including frost cracks; significant in Nordic raspberry,gd.eppo.int
PHYTCC,Phytophthora cactorum,Crown rot and collar rot,apple;strawberry,oomycete,Temperate worldwide,high,moderate,Resistant rootstocks (e.g. G.11;G.41);drainage;phosphonates,false,Wet soils and waterlogging increase risk; important in Nordic apple orchards on poorly drained sites,gd.eppo.int
NECTGA,Neonectria ditissima,European canker of apple,apple;pear,fungus,Temperate maritime,high,high,Pruning cankers;wound protection;copper sprays;resistant cultivars,false,Thrives in cool wet conditions; major problem in Nordic and British apple orchards,gd.eppo.int
MONLAX,Monilinia laxa,Blossom blight (brown rot),cherry;plum;apricot;apple,fungus,Temperate worldwide,high,moderate,Fungicides at bloom;pruning mummified fruit;orchard hygiene,false,Blossom infection during cold wet springs is common in Nordic stone fruit,gd.eppo.int
SCLECT,Sclerotinia trifoliorum,Clover rot (Sclerotinia crown and stem rot),red clover;white clover;alfalfa,fungus,Northern Europe;North America,high,very_high,Resistant cultivars;crop rotation (4+ years);deep ploughing,false,Most serious disease of red clover in Scandinavia; sclerotia survive in soil for years; kills plants under snow cover,gd.eppo.int
ASCOPI,Ascochyta pisi,Ascochyta blight of pea,pea,fungus,Temperate worldwide,moderate,moderate,Clean seed;crop rotation;fungicides;resistant cultivars,false,Seed-borne complex (A. pisi;A. pinodes;A. pinodella); common in Nordic pea production,gd.eppo.int
BOTRFA,Botrytis fabae,Chocolate spot of faba bean,faba bean,fungus,Temperate worldwide,high,high,Fungicides;crop rotation;avoid dense sowing;resistant cultivars,false,Major disease of Nordic faba bean; aggressive phase under humid conditions,gd.eppo.int
APHAEU,Aphanomyces euteiches,Aphanomyces root rot of pea,pea;lentil;faba bean,oomycete,Temperate worldwide,very_high,high,Long crop rotation (8+ years);resistant cultivars;soil testing before planting,false,Soil-borne oomycete; once established persists >10 years; increasing problem in Swedish pea fields,gd.eppo.int
UROMPI,Uromyces pisi,Pea rust,pea,fungus,Temperate worldwide,moderate,low,Resistant cultivars;fungicides;early sowing,false,More common in warmer climates; occasional in Nordic late-sown pea crops,gd.eppo.int
BYMV00,Bean yellow mosaic virus,Bean yellow mosaic,pea;faba bean;lupin;clover,virus,Global,moderate,moderate,Aphid vector control;resistant cultivars;rogue infected plants;certified seed,false,Aphid-vectored; can cause significant yield loss in Nordic legume crops,gd.eppo.int
COLLAC,Colletotrichum lupini,Anthracnose of lupin,lupin,fungus,Europe;Australasia;South America,very_high,moderate,Certified seed;fungicide seed treatment;resistant cultivars;crop rotation,false,Seed-borne; EU quarantine concern; limits Nordic lupin expansion; narrow-leafed lupin most susceptible,gd.eppo.int
CLADPH,Cladosporium phlei,Timothy eye spot (purple eye spot),timothy;forage grasses,fungus,Northern Europe;North America,moderate,high,Resistant cultivars;crop rotation;balanced fertilisation,false,Specific to timothy; widespread in Nordic forage production; reduces forage quality,gd.eppo.int
UROMDA,Uromyces viciae-fabae,Faba bean rust,faba bean,fungus,Temperate worldwide,high,moderate,Resistant cultivars;fungicides;early sowing,false,Can cause severe defoliation; autumn epidemics in Nordic faba bean when harvest is delayed,gd.eppo.int
SCLETE,Sclerotinia sclerotiorum,White mould (Sclerotinia stem rot),pea;faba bean;lupin;clover;oilseed rape,fungus,Global,high,high,Crop rotation;avoid dense canopies;biological control (Coniothyrium minitans);fungicides,false,Wide host range; apothecia produce airborne ascospores; common in Nordic legume and oilseed crops,gd.eppo.int
FUSAVE,Fusarium avenaceum,Fusarium foot rot and grain infection,wheat;barley;oat;pea;faba bean,fungus,Temperate worldwide,moderate,high,Crop rotation;seed treatment;avoid cereal-legume-cereal rotations,false,Dominant Fusarium species in Nordic pea and cereal crops; produces moniliformin and enniatins,gd.eppo.int
GIBBZE,Fusarium graminearum,Fusarium DON/ZEA contamination (grain quality),wheat;barley;oat;maize;rye,fungus,Temperate worldwide,very_high,high,Pre-harvest fungicides;resistant cultivars;avoid maize as preceding crop;DON/ZEA testing of grain lots,false,Deoxynivalenol (DON) and zearalenone (ZEA) contamination critical for bread and malt quality; EU limits: DON 1250 ug/kg for flour,gd.eppo.int
CLAVPU,Claviceps purpurea,Ergot alkaloid contamination (grain quality),rye;wheat;triticale;barley,fungus,Temperate worldwide,high,high,Clean seed;deep ploughing;avoid open-flowering cultivars;grain cleaning (sclerotia removal);alkaloid testing,false,Ergot alkaloids (ergotamine;ergocristine) toxic; EU limit 0.5 g sclerotia/kg grain; critical for rye bread and spirits,gd.eppo.int
ASFLA,Aspergillus flavus,Aspergillus ear rot (aflatoxin risk),wheat;barley;maize,fungus,Tropical and subtropical (warm temperate),moderate,low,Proper drying and storage (<14% moisture);biocontrol (atoxigenic strains);monitoring,false,Aflatoxin risk negligible in Nordic field conditions; storage risk if grain moisture exceeds 14% in poorly ventilated stores,gd.eppo.int
ALTEAM,Alternaria alternata,Alternaria grain discoloration (black point),wheat;barley;oat,fungus,Global,low,moderate,Timely harvest;proper drying;fungicides at grain fill,false,Causes black point and seed discoloration; reduces grain visual quality; cosmetic issue for heritage grain markets,gd.eppo.int
PENIVE,Penicillium verrucosum,Ochratoxin A contamination (stored grain),wheat;barley;rye;oat,fungus,Northern Europe (temperate),high,very_high,Proper drying (<14% moisture);cool storage;ventilation;OTA monitoring,false,Primary ochratoxin A producer in Nordic stored grain; grows at 0-31 C; major food safety concern for Scandinavian cereals,gd.eppo.int
