variety,crop,program,country,traits,cold_tolerance_notes,usda_zone,source
Superior,plum,U Minnesota,USA,dessert quality;large;hardy,P. salicina x P. americana hybrid; excellent eating quality,3-4,U Minnesota fruit breeding
Alderman,plum,U Minnesota,USA,large;blue;excellent quality,Japanese-American hybrid; one of best cold-hardy plums,3-4,U Minnesota fruit breeding
Brookgold,plum,SDSU,USA,yellow;sweet;hardy,Cold-hardy yellow plum; hybrid origin,3,South Dakota State U
Sapalta,cherry-plum,AAFC Brooks,Canada,cherry-plum hybrid;compact;zone 2,P. besseyi x P. salicina; extremely hardy bush form,2,AAFC Brooks Alberta
Meteor,sour cherry (tree),U Minnesota,USA,self-fertile;bright red;pie quality,Montmorency-type; natural semi-dwarf; very cold hardy tree form,3-4,U Minnesota fruit breeding
Consort,black currant,AAFC Ottawa,Canada,white pine blister rust immune;productive,Resistant to Cronartium ribicola; allows cultivation where currants were banned,3-5,AAFC Ottawa breeding program
Ben Tirran,black currant,SCRI,UK,very late;large berry;juice quality,Scottish black currant; extends harvest season; good for Nordic conditions,4-6,James Hutton Institute
Risager,black currant,Danish breeding,Denmark,early;large berry;aroma,Scandinavian black currant; widely grown in Nordic countries,4-5,Danish berry breeding
Ojebyn,black currant,SLU,Sweden,winterhardiness;compact bush;self-fertile,Swedish black currant; one of hardiest cultivars; bred from northern Swedish material,2-4,SLU breeding program
Rovada,red currant,Netherlands,Netherlands,very large clusters;late;productive,Dutch red currant; excellent for northern European climates,4-6,Dutch berry breeding
Jonkheer van Tets,red currant,Netherlands,Netherlands,early;bright red;prolific,Classic Dutch red currant; widely grown in Scandinavia,4-6,Dutch variety records
Hinnomaki Red,gooseberry,MTT,Finland,disease resistant;red;productive,Finnish gooseberry; mildew resistant; winter hardy,3-5,MTT Agrifood Research Finland
Pixwell,gooseberry,NDSU,USA,thornless;pink;prolific;zone 2,American gooseberry; extremely cold hardy; nearly thornless,2-3,North Dakota State U
Thiessen,saskatoon berry,ISC/USask,Canada,large berry 1.5cm;productive;early,Named 1976; largest-fruited saskatoon; commercially successful,2-3,U Saskatchewan Fruit Program
Smoky,saskatoon berry,AAFC Beaverlodge,Canada,sweet;mild;most planted commercial,Most widely planted saskatoon cultivar; good processing,2-3,AAFC Beaverlodge Alberta
Northline,saskatoon berry,AAFC Beaverlodge,Canada,compact bush;dark;sweet-tart,Compact form 2m; suited for u-pick and commercial planting,2-3,AAFC Beaverlodge Alberta
Martin,saskatoon berry,ISC/USask,Canada,upright;large;late ripening,Large-fruited saskatoon; upright habit; commercial cultivar,2-3,U Saskatchewan Fruit Program
JB30,saskatoon berry,USask,Canada,largest fruit;newest release,Newest saskatoon selection; exceptional berry size,2-3,U Saskatchewan Fruit Program
Frontenac Gris,grape (white wine),U Minnesota,USA,white wine;cold hardy;aromatic,Grey-skinned mutation of Frontenac; zone 3-4; apricot/peach notes,3-4,U Minnesota Grape Breeding 2003
Brianna,grape (white wine),Elmer Swenson,USA,white wine;pineapple aroma;zone 4,Swenson selection; one of hardiest quality white wine grapes,4,Private breeding/Iowa State evaluation
Louise Swenson,grape (white wine),Elmer Swenson,USA,white wine;honey-melon;zone 3,One of Swenson's finest; versatile white; ages well,3-4,Swenson grape selections
St. Croix,grape (red wine),Elmer Swenson,USA,red wine;Beaujolais-style;zone 3,Swenson hybrid; excellent cold hardiness with good wine quality,3-4,Swenson grape selections
Mars,grape (seedless table),U Arkansas,USA,seedless;blue;Concord-like;zone 5,One of hardiest seedless grapes; V. labrusca heritage; moderate cold tolerance,5,U Arkansas fruit breeding
Strawberry Sensation,haskap,U Saskatchewan,Canada,strawberry flavor;upright;compact,Newest haskap release; unique strawberry-like flavor profile,2,USask Fruit Program official
Berry Blue,haskap,Oregon State,USA,large;sweet;PNW adapted;zone 4,Pacific Northwest haskap; adapted to milder maritime climate,4-5,Oregon State U berry breeding
Taka,haskap,Hokkaido/Japan,Japan,early;sweet;Japanese type,Japanese selection; crossed with Russian for North American cultivars,4-5,Hokkaido breeding program
Yubari,haskap,Hokkaido/Japan,Japan,large berry;dessert quality,Premium Japanese haskap; basis for USask breeding program,4-5,Hokkaido breeding program
Longjiang 4,sea buckthorn,Heilongjiang Academy,China,large fruit;high oil;thornless,Chinese sea buckthorn cultivar; H. rhamnoides subsp. mongolica derived,3-4,Chinese Academy of Agricultural Sciences
Prozrachnaya,sea buckthorn,Lisavenko Institute,Russia,large fruit;few thorns;orange,Altai region selection; commercially grown in Russia,3-4,Lisavenko Institute Barnaul
Jokioinen,lingonberry,MTT,Finland,large berry;semi-erect,Finnish lingonberry cultivar; commercially available; larger than wild,2-4,MTT Agrifood Research Finland
Red Pearl,lingonberry,Netherlands,Netherlands,large berry;ornamental;productive,Dutch lingonberry selection; commercially grown,4-5,Dutch berry breeding
Longan No. 14,apricot,Liaoning Academy,China,extremely hardy;small;early,Chinese cold-hardy apricot; P. armeniaca var. mandshurica derived,3-4,Liaoning Academy of Agricultural Sciences
Scout,apricot,AAFC Morden,Canada,zone 2;Canadian hybrid;reliable,P. mandshurica x P. armeniaca; one of hardiest named apricots,2-3,AAFC Morden Research Station
Harlayne,apricot,Agriculture Canada,Canada,large fruit;zone 4;reliable,Harrow series; one of hardiest full-size apricots,4,AAFC Harrow Ontario
Kosui,pear (Asian),NIFTS,Japan,sweet;juicy;early ripening,Japanese Nashi pear; limited cold tolerance but important breeding parent,5-6,National Institute of Fruit Tree Science Japan
Shinko,pear (Asian),NIFTS,Japan,disease resistant;late;storage,Japanese Nashi; fire blight resistant; grown experimentally in cold climates,5-6,NIFTS Japan
Lieksa,barley (spring 6-row),Boreal,Finland,extreme northern adapted;feed,Finnish spring barley; bred for Arctic Finland growing conditions,2-3,Boreal Plant Breeding official
Kustaa,barley (spring 6-row),Boreal,Finland,winterhardiness;feed;northern,Finnish barley bred for survival in harsh continental conditions,2-4,Boreal Plant Breeding official
Bamse,wheat (winter),Lantmannen,Sweden,strong straw;winter hardy,Swedish winter wheat; strong straw for Nordic conditions,4-5,Lantmannen Seed official
Runar,wheat (spring),Graminor,Norway,bread quality;northern adapted,Norwegian spring wheat; grown in central/northern Norway,3-5,Graminor official
Priekuli 481,barley (spring 6-row),Priekuli,Latvia,early;northern adapted;feed,Latvian spring barley; grown across Baltics and Scandinavia,3-5,Priekuli Plant Breeding Station
Auksiniai 3,barley (spring 2-row),Lithuanian Institute,Lithuania,malt quality;Baltic adapted,Lithuanian spring barley; suited for Baltic maritime climate,4-5,Lithuanian Institute of Agriculture
Semu 509,wheat (winter),Jogeva,Estonia,winterhardiness;bread quality,Estonian winter wheat; bred for Baltic winter conditions,3-5,Jogeva Plant Breeding Institute
Ada,oat (spring),Jogeva,Estonia,early;yield;Baltic adapted,Estonian spring oat; widely grown in Baltic states,4-5,Jogeva Plant Breeding Institute
Fredrika,wheat (winter),Graminor,Norway,newest winter wheat;high yield;hardy,Recent Graminor release; combines yield and winter survival,3-5,Graminor official
Kelliher,wheat (winter),CDC Saskatchewan,Canada,CWRW class;prairie adapted;high yield,Canadian Western Red Winter wheat for prairie conditions,3-4,CDC Saskatoon variety release
AC Hazlet,wheat (winter),AAFC Swift Current,Canada,extreme winterhardiness;drought tolerant,Bred for Saskatchewan prairies; one of hardiest Canadian wheats,2-3,AAFC Swift Current variety release
Antonovka,apple,,,,,,
Borlaug 100,wheat,,Mexico,high-yield;disease-resistant,Limited cold tolerance; bred for subtropical regions.,9-12,CIMMYT
Dala Lantvete,wheat,,Sweden,cold-hardy;tall-straw;landrace,,,
Einkorn,einkorn,,other,ancient-grain;diploid-wheat,,,
Emmer,wheat,,Italy,ancient-grain;nutty-flavor,Survives light frost; not for extreme cold.,5-9,Slow Food Foundation
Frankenkorn,spelt,,,,,,
Freekeh,wheat,,Syria,ancient-grain;smoky-flavor,Limited cold tolerance; prefers warm climates.,8-11,Syrian Agricultural Research
Glenn,wheat,,USA,high-protein;disease-resistant,Excellent cold tolerance; bred for North Dakota.,3-6,NDSU Foundation Seedstocks
Jagger,wheat,,USA,winter-hardy;high-yield,Excellent cold tolerance; bred for Kansas winters.,3-6,Kansas Wheat Innovation Center
Kamut,wheat,,Egypt,ancient-grain;high-protein,Moderate cold tolerance; best in temperate climates.,4-8,Kamut International
Kungs-Rye,rye,,Sweden,winter-rye;deep-roots;erosion-control,,,
Marquis,wheat,,Canada,early-maturing;high-yield,Good cold tolerance; bred for Canadian prairies.,2-6,Canadian Grain Commission
Norin 10,wheat,,Japan,semi-dwarf;high-yield,Good cold tolerance; bred for Japanese winters.,5-8,Japanese Ministry of Agriculture
Oberkulmer,spelt,,,,,,
Oberkulmer Rotkorn,spelt,,Switzerland,spelt;hulled-grain;disease-resistant,,,
Olandsvete,wheat,,,,,,
Purple Straw,wheat,,USA,heirloom;soft-grain,Tolerates mild frost; not for severe cold.,6-9,Southern Exposure Seed Exchange
Red Fife,wheat,,Canada,heirloom;disease-resistant;high-yield,Tolerates mild frost; not suitable for harsh winters.,3-7,Heritage Grain Trust
Rouge de Bordeaux,wheat,,France,heirloom;aromatic,Moderate cold tolerance; traditional French variety.,6-9,Terroir Seeds
Sonora,wheat,,Mexico,soft-grain;early-maturing,Not frost tolerant; best in warm regions.,8-11,Native Seeds/SEARCH
Spelt,wheat,,Germany,ancient-grain;nutty-flavor,Moderate cold tolerance; grows in cool climates.,4-8,Biodiversity Heritage Library
Turkey Red,wheat,,Ukraine,heirloom;drought-tolerant,Good cold tolerance; adapted to harsh winters.,3-7,Heritage Grain Trust
Yecora Rojo,wheat,,USA,high-protein;semi-dwarf,Limited cold tolerance; prefers warm climates.,7-10,UC Davis
Ölandsvete,wheat,,Sweden,heritage-landrace;drought-tolerant;low-input,,,
Tammisto,timothy,MTT/Hankkija,Finland,winter hardy;high yield;dense sward;widely adapted,One of oldest Finnish timothy cultivars; extremely winter hardy; foundation of Nordic forage breeding,2-4,MTT Agrifood Research Finland
Lischka,timothy,DSV,Germany,high yield;late heading;good regrowth,German timothy adapted to Central-Northern Europe; good winter survival in maritime climates,4-6,Deutsche Saatveredelung (DSV)
Alma,timothy,Jogeva PBI,Estonia,winter hardy;Baltic adapted;medium-early,Estonian timothy bred for Baltic conditions; good persistence under ice encasement,3-5,Jogeva Plant Breeding Institute
Lejre,timothy,DLF,Denmark,high digestibility;early heading;persistent,Danish timothy suited for intensive cutting; maritime adapted,4-5,DLF Seeds official
Retu,tall fescue,Boreal,Finland,extreme winterhardiness;persistence;deep roots,Finnish tall fescue; one of hardiest Festuca arundinacea cultivars globally; persists in northern Finland,2-4,Boreal Plant Breeding official
Swaj,tall fescue,SW Seed/Lantmannen,Sweden,winter hardy;forage quality;deep-rooted,Swedish tall fescue bred for Scandinavian conditions; drought tolerant via deep root system,4-5,Lantmannen Seed official
Palaton,reed canary grass,USDA/Iowa State,USA,low alkaloid;palatable;high yield,First low-alkaloid reed canary grass; breakthrough for forage quality; widely used in Nordic trials,3-5,USDA-ARS Iowa; Carlson et al. Crop Science 1996
Venture,reed canary grass,AAFC,Canada,low alkaloid;winter hardy;wetland adapted,Canadian low-alkaloid Phalaris arundinacea; suited for marginal wet soils,2-4,AAFC Saskatoon breeding program
Lara,reed canary grass,Svalof,Sweden,bioenergy;tall;high biomass;winter hardy,Swedish reed canary grass bred for bioenergy production; tolerates waterlogged soils,3-5,Svalof Weibull/Lantmannen official
Carlton,smooth bromegrass,AAFC Saskatoon,Canada,winter hardy;high yield;creeping root,Canadian smooth bromegrass; widely grown on prairies; excellent cold tolerance,2-4,AAFC Saskatoon variety release
Fleet,smooth bromegrass,AAFC Saskatoon,Canada,improved regrowth;leafy;persistent,Canadian Bromus inermis; improved aftermath yield over Carlton,2-4,AAFC Saskatoon variety release
Paddock,smooth bromegrass,AAFC Saskatoon,Canada,disease resistant;grazing tolerant;productive,Canadian smooth bromegrass; resistant to brown leaf spot,2-4,AAFC Saskatoon variety release
Signal,smooth bromegrass,AAFC Brandon,Canada,meadow bromegrass;non-creeping;bunch type,Bromus riparius (meadow brome); non-sod-forming; winter hardy to zone 2,2-4,AAFC Brandon Manitoba
Frisk,cocksfoot,Graminor,Norway,winter hardy;Nordic adapted;persistent,Norwegian Dactylis glomerata; bred for persistence in Scandinavian conditions,4-5,Graminor official
Laban,cocksfoot,Graminor,Norway,late heading;winter survival;forage quality,Norwegian cocksfoot; improved winter hardiness for Nordic use; late maturity group,4-5,Graminor official
Entopper,kentucky bluegrass,DLF,Denmark,turf quality;dense sward;disease resistant,Danish Poa pratensis bred for Nordic turf and forage; excellent winter color retention,4-6,DLF Seeds official
Monopoly,kentucky bluegrass,Barenbrug,Netherlands,aggressive establishment;dense;wear tolerant,Dutch Kentucky bluegrass cultivar; widely used in Northern European turf programs,4-6,Barenbrug Seeds official
Aurora,alsike clover,Svalof,Sweden,winter hardy;wet soil tolerant;nitrogen fixing,Swedish Trifolium hybridum; thrives in poorly drained acidic soils; excellent for northern leys,3-5,Svalof Weibull breeding records
Dawn,alsike clover,AAFC,Canada,winter hardy;persistent;high seed yield,Canadian alsike clover; bred for northern prairie and parkland conditions,2-4,AAFC Ottawa forage breeding
Norcen,bird's-foot trefoil,USDA/Iowa State,USA,non-bloating;persistent;high tannin,Lotus corniculatus cultivar; does not cause bloat; excellent for mixed pastures,3-5,USDA-ARS Iowa; Seaney & Henson 1970
Leo,bird's-foot trefoil,DLF/Poulsen,Denmark,European type;erect;high yield;persistent,Danish Lotus corniculatus; widely grown in Northern Europe; good winter survival,4-6,DLF Seeds official
Surefire,sour cherry (tree),U Minnesota,USA,extremely productive;self-fertile;disease tolerant,P. cerasus; bred for northern gardens; heavy cropping; reliable in zone 3,3-4,U Minnesota fruit breeding
Mesabi,sour cherry (tree),U Minnesota,USA,large fruit;cold hardy;vigorous tree,U Minnesota release; Morello-type; good for processing and fresh eating,3-4,U Minnesota fruit breeding
Nefris,sour cherry (tree),Skierniewice,Poland,productive;dark fruit;disease resistant,Polish sour cherry from Skierniewice institute; widely grown in Central-Northern Europe,4-5,Research Institute of Horticulture Skierniewice
Lutowka,sour cherry (tree),Polish landrace,Poland,very late season;processing quality;vigorous,Traditional Polish sour cherry; widely grown for juice and preserves; hardy to zone 4,4-5,Polish pomological records
Shubinka,sour cherry (tree),Russian selection,Russia,extreme cold tolerance;small dark fruit;productive,Russian heritage sour cherry; survives -35C; grown across northern Russia,3-4,Russian pomological records
Kuban Comet,cherry plum,Krasnodar Institute,Russia,early ripening;large fruit;productive;cold hardy,P. cerasifera hybrid bred in Krasnodar; adapted to Russian winters; excellent fresh eating,4-5,Krasnodar Research Institute official
Obilnaya,cherry plum,Krymsk Station,Russia,extremely productive;medium fruit;purple skin,Russian cherry plum (alycha); Prunus cerasifera; high-yielding ornamental and fruit tree,4-5,Krymsk Breeding Station official
Manchurian,apricot,Heilongjiang Academy,China,extreme cold tolerance;small fruit;ornamental,Prunus mandshurica; survives -40C; parent of many cold-hardy apricot hybrids globally,2-3,Chinese Academy of Agricultural Sciences
Wojtek,haskap,University of Life Sciences Lublin,Poland,large berries;late season;productive,Polish Lonicera caerulea; bred from Kamchatka germplasm; excellent flavor,3-5,University of Life Sciences Lublin Poland
Leningradskiy Velikan,haskap,Pavlovsk Station,Russia,very large fruit;productive;spreading bush,Russian haskap (zhimolost); Leningrad Giant; one of largest-fruited Russian cultivars,3-4,Pavlovsk Experimental Station St. Petersburg
Kamchadalka,haskap,Bakcharskoe/VNIIR,Russia,upright compact;medium fruit;early ripening,Russian Kamchatka-origin haskap; widely grown in Siberia; extremely cold hardy,2-3,Bakcharskoe breeding nursery Russia
Erntedank,lingonberry,Geisenheim,Germany,large berry;high yield;semi-erect,German Vaccinium vitis-idaea cultivar; one of first named lingonberry cultivars,4-6,Geisenheim Research Institute Germany
Runo Bielawskie,lingonberry,Skierniewice,Poland,large berry;vigorous;good ground cover,Polish lingonberry selection; adapted to Central-Northern European conditions,4-5,Research Institute of Horticulture Skierniewice
Hergo,sea buckthorn,Humboldt-Universitat,Germany,low thorn;high vitamin C;early ripening,German Hippophae rhamnoides cultivar; bred for easy mechanical harvest; widely planted,4-6,Humboldt University Berlin breeding program
Leikora,sea buckthorn,Humboldt-Universitat,Germany,large fruit;late season;high yield,German sea buckthorn; most widely planted cultivar in Western Europe,4-6,Humboldt University Berlin breeding program
Botanicheskaya,sea buckthorn,Botanical Garden Moscow,Russia,few thorns;large fruit;aromatic,Russian sea buckthorn bred at Moscow Botanical Garden; excellent fruit quality,3-5,Moscow Botanical Garden breeding records
Viking,aronia,Finnish/Russian selection,Finland,large berry clusters;vigorous;productive,Aronia melanocarpa; most widely grown chokeberry cultivar worldwide; extremely cold hardy,2-4,Finnish berry breeding records; Russian origin
Nero,aronia,Czech breeding,Czech Republic,large berries;compact bush;high anthocyanin,Czech Aronia melanocarpa; bred for juice production; very high antioxidant content,3-5,Czech horticultural breeding records
Galicjanka,aronia,Bolestraszyce Arboretum,Poland,very productive;upright;juice quality,Polish chokeberry cultivar; bred for commercial juice production; hardy,4-5,Bolestraszyce Arboretum Poland
Haschberg,elderberry,Austrian selection,Austria,large berry clusters;high pigment;vigorous,Sambucus nigra; most important commercial elderberry cultivar in Europe,4-6,Austrian pomological records
Sampo,elderberry,Luke/Finnish breeding,Finland,cold hardy;compact;productive;early,Finnish Sambucus nigra selection; bred for Nordic conditions; ripens early,3-5,Luke Natural Resources Institute Finland
Stevens,cranberry,Rutgers,USA,large berry;high yield;industry standard,Vaccinium macrocarpon; most widely planted cranberry cultivar worldwide; tolerates boggy acidic soils,3-5,Rutgers University New Jersey
Pilgrim,cranberry,USDA,USA,large berry;deep red;late season,USDA-released Vaccinium macrocarpon; excellent color and storage; commercially important,3-5,USDA cranberry breeding program
Leon Millot,grape (red wine),Kuhlmann/Alsace,France,early ripening;dark wine;Marechal Foch sibling,French hybrid 194-2; Goldriesling x V. riparia-rupestris; ripens very early; zone 4,4-5,French hybrid grape records; Alsace breeding
Marechal Foch,grape (red wine),Kuhlmann/Alsace,France,early ripening;Burgundy-style wine;cold hardy,French hybrid 188-2; Goldriesling x V. riparia-rupestris; widely grown in cold climates,4-5,French hybrid grape records; Alsace breeding
Regent,grape (red wine),JKI Geilweilerhof,Germany,disease resistant;Pinot-like quality;PIWI,German PIWI grape; excellent mildew resistance; planted in Scandinavia and UK,5-6,Julius Kuhn Institute Geilweilerhof Germany
Muscaris,grape (white wine),JKI Geilweilerhof,Germany,Muscat aroma;disease resistant;PIWI,German PIWI crossing; Solaris x Gelber Muskateller; aromatic white for northern climates,5-6,Julius Kuhn Institute Geilweilerhof Germany
Johanniter,grape (white wine),JKI Geilweilerhof,Germany,Riesling-like;mildew resistant;PIWI,German PIWI grape; Riesling heritage; grown successfully in southern Scandinavia,5-6,Julius Kuhn Institute Geilweilerhof Germany
Supaga,grape (table),Latvian breeding,Latvia,early ripening;sweet;Muscat aroma;cold hardy,Latvian table grape; extremely early ripening for fresh eating; grown in Baltic states,4-5,Latvian grape breeding program
Beta,grape (juice/wine),South Dakota State,USA,extremely hardy;Concord-type;vigorous,V. riparia x Concord hybrid; survives -40C; one of hardiest named grapes; juice and jelly,2-3,SDSU variety release 1881
Bluebell,grape (juice/table),U Minnesota,USA,early ripening;Concord-type;cold hardy,V. labrusca hybrid; bred for short-season northern climates; blue-black fruit,3-4,U Minnesota grape breeding 1983
Alvesta,field pea,Lantmannen,Sweden,high yield;semi-leafless;standing ability,Swedish field pea (Pisum sativum); bred for Nordic conditions; good combine harvest traits,4-6,Lantmannen Seed official
Ingrid,field pea,Lantmannen,Sweden,early maturity;high protein;standing ability,Swedish field pea; adapted to Scandinavian growing season; reliable protein crop,4-6,Lantmannen Seed official
Clara,field pea,Boreal,Finland,winter hardy;high yield;Finnish adapted,Finnish field pea; bred for northern latitude short-season conditions,3-5,Boreal Plant Breeding official
Perttu,field pea,Boreal,Finland,high protein;early;northern adapted,Finnish field pea cultivar; suited for Finnish growing conditions; good seed quality,3-5,Boreal Plant Breeding official
Kontu,faba bean,Boreal,Finland,earliest maturity;determinate;short plant,Finnish Vicia faba; one of earliest maturing faba beans globally; suited for zone 3,3-5,Boreal Plant Breeding official
Sampo Faba,faba bean,Boreal,Finland,early maturity;high yield;tannin-free,Finnish faba bean; zero-tannin type suited for feed; adapted to short northern season,3-5,Boreal Plant Breeding official
Louhi,faba bean,Boreal,Finland,cold tolerant;early;high protein,Finnish faba bean named after Kalevala character; very early maturity for Arctic agriculture,2-4,Boreal Plant Breeding official
CDC Maxim,lentil,CDC Saskatchewan,Canada,large green;high yield;widely adapted,Canadian large green lentil; most widely grown lentil cultivar in Saskatchewan,3-5,CDC University of Saskatchewan
Boruta,narrow-leafed lupin,Poznan Plant Breeding,Poland,low alkaloid;self-completing;determinate,Polish Lupinus angustifolius; sweet (low alkaloid) type; nitrogen-fixing grain legume,4-6,Poznan Plant Breeding Ltd Poland
Boros,narrow-leafed lupin,Poznan Plant Breeding,Poland,early maturity;low alkaloid;high protein,Polish narrow-leafed lupin; bred for Northern European conditions; thermoneutral,4-6,Poznan Plant Breeding Ltd Poland
