source_id,name,type,country,website,ships_to,specialties,access,notes,source
SRC-001,NordGen,gene_bank,Sweden,https://www.nordgen.org,Nordic countries,cereals;legumes;forages;wild relatives,request with research justification,Nordic Gene Resource Centre; 33000+ accessions of Nordic crop diversity,NordGen catalog
SRC-002,GRIN/NPGS,gene_bank,USA,https://www.ars-grin.gov,worldwide,all crops;wild relatives;landraces,free for research and education,USDA National Plant Germplasm System; 600000+ accessions,USDA ARS
SRC-003,IPK Gatersleben,gene_bank,Germany,https://www.ipk-gatersleben.de,worldwide,cereals;barley;wheat;rye,request with research justification,Leibniz Institute; one of world's largest collections; 150000+ accessions,IPK catalog
SRC-004,VIR (Vavilov Institute),gene_bank,Russia,https://www.vir.nw.ru,limited,wheat;rye;barley;oat;wild relatives,restricted; institutional agreements,Founded by Nikolai Vavilov; 320000+ accessions; historically significant,VIR collection records
SRC-005,ICARDA,gene_bank,Lebanon,https://www.icarda.org,worldwide,wheat;barley;lentil;faba bean;chickpea,request with research justification,Dryland agriculture focus; rebuilt collection after Syrian conflict,ICARDA genebank
SRC-006,Adaptive Seeds,heritage_seed_company,USA,https://www.adaptiveseeds.com,USA,open-pollinated grains;wheat;rye;emmer;einkorn,retail online,Pacific Northwest bred and adapted; strong heritage grain selection,Adaptive Seeds catalog
SRC-007,Restoration Seeds,heritage_seed_company,USA,https://www.restorationseeds.com,USA,heritage wheat;ancient grains;rare varieties,retail online,Specializes in pre-Green Revolution wheat varieties,Restoration Seeds catalog
SRC-008,Fedco Seeds,heritage_seed_company,USA,https://www.fedcoseeds.com,USA,cold-hardy grains;cover crops;heritage varieties,retail online; cooperative,Worker-owned cooperative; strong Northeast cold-hardy selection,Fedco Seeds catalog
SRC-009,Heritage Grain Conservancy,heritage_seed_company,USA,https://growseed.org,USA,landrace wheat;heritage grains;seed preservation,retail online; membership,Eli Rogosa's seed preservation project; extensive landrace collection,Heritage Grain Conservancy
SRC-010,Bountiful Gardens,heritage_seed_company,USA,,USA (historical),heritage grains;legumes;rare food plants,defunct,Defunct (Ecology Action project closed); former seeds now available via Seed Savers Exchange and individual collectors,Historical reference
SRC-011,Lantmannen,commercial_nordic,Sweden,https://www.lantmannen.se,Nordic countries;EU,winter wheat;spring barley;oat;rye,commercial licensing,Swedish agricultural cooperative; major Nordic cereal breeder,Lantmannen breeding
SRC-012,Boreal Plant Breeding,commercial_nordic,Finland,https://www.boreal.fi,Nordic countries;Baltics,winter wheat;spring cereals;extreme cold hardy,commercial licensing,Finnish breeding for zones 2-5; Veli winter wheat,Boreal catalog
SRC-013,Graminor,commercial_nordic,Norway,https://www.graminor.no,Nordic countries,winter wheat;spring barley;forage,commercial licensing,Norwegian breeding; Magnifik winter wheat; focus on maritime climates,Graminor catalog
SRC-014,Seed Savers Exchange,community,USA,https://www.seedsavers.org,USA,heritage varieties;heirlooms;member exchanges,membership; retail online,35000+ varieties in collection; member-to-member seed swaps,SSE catalog
SRC-015,Association Kokopelli,community,France,https://kokopelli-semences.fr,EU,heritage cereals;ancient grains;open-pollinated,membership; retail,French seed preservation; focus on biodiversity and seed freedom,Kokopelli catalog
SRC-016,ProSpecieRara,community,Switzerland,https://www.prospecierara.ch,Switzerland;EU,heritage crops;rare breeds;Swiss landraces,membership; seed library,Swiss foundation for preservation of rare cultivated plants,ProSpecieRara catalog
SRC-017,Arche Noah,community,Austria,https://www.arche-noah.at,Austria;EU,heritage varieties;Austrian landraces;seed commons,membership; seed library,Austrian seed preservation society; 5500+ varieties maintained,Arche Noah catalog
SRC-018,Organic Seed Alliance,community,USA,https://seedalliance.org,USA,organic cereals;participatory breeding;seed sovereignty,membership; resources,Farmer-breeder collaborations; open-source seed development,OSA programs
SRC-019,sourdo.com,sourdough,USA,https://www.sourdo.com,worldwide,sourdough cultures;heritage starters,retail online,International sourdough library; ships dried cultures worldwide,sourdo.com
SRC-020,Carl Griffith Friends of Carl,sourdough,USA,,USA,1847 Oregon Trail starter,free sharing network,Community sharing network; request via sourdough forums,Community records
SRC-021,The Bread Lab (WSU),specialty,USA,https://breadlab.wsu.edu,research partners,heritage wheat;regional grains;grain quality,research collaboration,Washington State University; Dr. Stephen Jones; grain quality research,WSU Bread Lab
SRC-022,Heritage Wheat (UK),specialty,UK,https://www.heritagewheat.eu,UK;EU,British landrace wheat;heritage bread wheat,retail online; talks,John Letts' collection of pre-1900 British wheat varieties,Heritage Wheat UK
SRC-023,Gotland Grain,specialty,Sweden,https://www.gotlandsgrus.se,Sweden,ancient Gotland barley;heritage rye;island landraces,retail; farm visits,Gotland island heritage grain preservation; unique island genetics,Gotland Grain
SRC-024,Skanes Kvarnforening,specialty,Sweden,https://www.skaneskvarnforening.se,Sweden,stone-ground flour;heritage grain milling,retail; mill visits,Southern Sweden heritage milling collective; sources local grain; promotes traditional stone milling,Skanes Kvarnforening
SRC-025,Nordic Seed,specialty,Denmark,https://www.nordicseed.com,Nordic countries;EU,barley;wheat;triticale;rapeseed,commercial licensing,Danish breeding company; strong malting barley program,Nordic Seed catalog
SRC-026,Real Seeds,heritage_seed_company,UK,https://www.realseeds.co.uk,UK,heritage grains;wheat;heritage vegetables,retail online,UK heritage seed company; focus on home-scale grain growing,Real Seeds catalog
SRC-027,Hjalmars,specialty,Sweden,https://www.hjalmars.se,Sweden,stone-ground heritage flour;landrace wheat,retail online,Artisan mill in Skane; single-variety heritage flour,Hjalmars mill
SRC-028,Heritage Seed Library (HSL),community,UK,https://www.gardenorganic.org.uk/hsl,UK,heritage vegetables;heritage grains;seed preservation,members_only,Garden Organic's seed library; 800+ endangered varieties; member-to-member distribution only,Heritage Seed Library
SRC-029,Real Seeds,heritage_seed_company,UK,https://www.realseeds.co.uk,UK;EU,heritage grains;wheat;rye;ancient vegetables,commercial,UK heritage seed company; focus on home-scale grain growing and seed saving; no F1 hybrids,Real Seeds catalog
SRC-030,Association Kokopelli,ngo,France,https://kokopelli-semences.fr,EU;worldwide,heritage cereals;ancient grains;open-pollinated;seed freedom,members_only,French seed preservation NGO; legal battles for seed biodiversity; 2000+ varieties,Kokopelli catalog
SRC-031,RALA / Agricultural University of Iceland,research_institute,Iceland,https://www.lbhi.is,Iceland;Nordic countries,Icelandic barley;cold-tolerant cereals;subarctic forage,restricted,Icelandic agricultural research; world's northernmost barley breeding; gene bank of subarctic-adapted germplasm,RALA / LBHI records
SRC-032,Latvian State Stende Cereal Breeding Institute,gene_bank,Latvia,https://www.stendeselekcija.lv,Baltics;EU,winter wheat;spring barley;oat;rye,restricted,Baltic gene bank; 4000+ accessions; focus on winter-hardy cereals for maritime-continental climates,Stende breeding catalog
SRC-033,Estonian Crop Research Institute (ECRI),gene_bank,Estonia,https://www.etki.ee,Baltics;EU,spring cereals;winter rye;potato;legumes,restricted,Estonian national gene bank; Nordic-adapted germplasm; participates in NordGen network,ECRI collection records
SRC-034,Hokkaido Research Organization (HRO),research_institute,Japan,https://www.hro.or.jp,Japan,cold-climate wheat;winter barley;buckwheat;forage crops,restricted,Hokkaido cold-climate agricultural research; parallels Nordic Zone 3-5 conditions; unique Asian cold-hardy genetics,HRO research catalog
SRC-035,Heritage Grain Trust,community,UK,https://www.heritagegraintrust.org,UK,heritage wheat;population wheat;landrace cereals;artisan milling,open,UK network connecting farmers; bakers and millers around heritage and population wheats,Heritage Grain Trust
SRC-036,Salt Spring Seeds,heritage_seed_company,Canada,https://www.saltspringseeds.com,Canada;USA,heritage grains;ancient wheat;open-pollinated cereals;Pacific Northwest adapted,commercial,Dan Jason's seed company on Salt Spring Island BC; 30+ years preserving heritage grain varieties,Salt Spring Seeds catalog
SRC-037,VIR — N.I. Vavilov Institute (St Petersburg),gene_bank,Russia,https://www.vir.nw.ru,limited; institutional agreements,wheat;rye;barley;oat;wild relatives;landraces,restricted,World's first seed bank (est. 1894); 320000+ accessions; historically significant collection saved during Siege of Leningrad,VIR collection records
